Country,Longitude,Latitude
American Samoa,-170.7007316,-14.30571199
United States Minor Outlying Islands,166.6380034,19.30204581
Cook Islands,-159.7876887,-21.22261325
French Polynesia,-149.4004167,-17.67468408
Niue,-169.8687811,-19.05230922
Pitcairn,-128.3149849,-24.36612175
Samoa,-172.4410766,-13.63425295
Tokelau,-171.8526595,-9.195174767
Tonga,-175.2041588,-21.15927213
Wallis and Futuna,-178.1273556,-14.28344231
El Salvador,-88.85911489,13.75804152
Guatemala,-90.31219349,15.82087852
Mexico,-101.5539973,23.87436068
Canada,-98.41680518,57.55048004
Argentina,-64.53238504,-35.69727052
Falkland Isds (Malvinas),-58.74664636,-51.75901313
Chile,-70.76863432,-37.82938283
Ecuador,-78.46303261,-1.564272139
Peru,-74.11416197,-8.522717984
Brazil,-54.35520661,-11.52463042
Paraguay,-58.38906357,-23.42190559
Uruguay,-56.01919523,-32.78195044
South Georgia and South Sandwich Islands,-36.77509576,-54.37666444
Antarctica,-177.5645161,-77.16987521
Fiji,177.9814461,-17.82247095
Saint Helena,-5.717391621,-15.96296332
Anguilla,-63.06008344,18.222874
Antigua and Barbuda,-61.78530823,17.07146759
Aruba,-69.97564014,12.51562572
Bahamas,-78.0727537,24.72162634
Barbados,-59.55738395,13.18321937
Belize,-88.6827351,17.24252477
Bermuda,-64.74585006,32.31506743
Bonaire,-68.29350446,12.18084498
British Virgin Islands,-64.62406519,18.4219582
Colombia,-72.64450662,4.187753877
Costa Rica,-84.14673626,9.863467407
Cuba,-79.69817858,21.47617652
Dominica,-61.36047195,15.42926986
Dominican Republic,-70.43495199,18.77954819
French Guiana,-53.32232307,3.857429742
Grenada,-61.67937937,12.11292666
Guadeloupe,-61.54382262,16.24420003
Guyana,-58.91352613,4.682119814
Haiti,-72.8929138,18.88352049
Honduras,-86.49251679,14.7403707
Jamaica,-77.30358895,18.12207889
Martinique,-61.01432381,14.64269735
Montserrat,-62.18693281,16.73536339
Nicaragua,-85.01608833,12.89356663
Panama,-80.14428761,8.43953675
Puerto Rico,-66.4942534,18.21622409
Saba,-63.23739482,17.63251262
Saint Barthelemy,-62.8305161,17.90561691
Saint Eustatius,-62.97823059,17.49190423
Saint Kitts and Nevis,-62.74560386,17.3147363
Saint Lucia,-60.96895109,13.89574919
Saint Martin,-63.06678525,18.07801211
Saint Pierre and Miquelon,-56.32465353,46.95153914
Saint Vincent and the Grenadines,-61.19376635,13.25480812
Sint Maarten,-63.06883136,18.03942608
Suriname,-55.85551431,4.098723596
Trinidad and Tobago,-61.3723658,10.41551564
Turks and Caicos Islands,-71.74058947,21.79986543
US Virgin Islands,-64.76155341,17.73800971
Venezuela,-66.36492136,7.148324761
Burkina Faso,-1.693281621,12.10870904
Cabo Verde,-23.63401006,15.07641152
Côte d'Ivoire,-5.571710195,7.536779279
Gambia,-15.38338039,13.42861796
Ghana,-1.219233363,7.945304672
Gibraltar,-5.345549485,36.14022671
Guinea,-10.98694885,10.25598654
Guinea-Bissau,-14.98018676,11.98007532
Liberia,-9.258988935,6.520129794
Mali,-4.346399842,17.16814621
Mauritania,-10.49507905,20.46673121
Morocco,-8.817212587,28.68759813
Portugal,-7.933662184,39.67529215
Senegal,-14.61087537,14.22886149
Sierra Leone,-11.78656696,8.561330385
Greenland,-42.07567788,74.16847219
Guernsey,-2.576392583,49.45870771
Ireland,-8.241128546,53.3048954
